order_id,customer_id,order_date,sales_channel,payment_method
ORD-01104,CUST-0521,2025-02-14,Marketplace,PayPal
ORD-01105,CUST-0149,2025-04-27,Marketplace,Credit Card
ORD-01106,CUST-0394,2025-02-14,In-Store,Debit Card
ORD-01107,CUST-0293,2024-07-18,Online,Debit Card
ORD-01108,CUST-0162,2024-03-29,Phone Order,PayPal
ORD-01109,CUST-0093,2025-07-16,Online,PayPal
ORD-01110,CUST-0302,2024-12-14,Phone Order,PayPal
ORD-01111,CUST-0472,2025-08-23,Marketplace,Credit Card
ORD-01112,CUST-0236,2024-11-19,Online,Credit Card
ORD-01113,CUST-0351,2024-03-18,In-Store,Credit Card
ORD-01114,CUST-0195,2025-05-25,In-Store,Credit Card
ORD-01115,CUST-0256,2025-09-25,Online,PayPal
ORD-01116,CUST-0007,2025-07-08,Phone Order,PayPal
ORD-01117,CUST-0188,2025-06-07,Online,Credit Card
ORD-01118,CUST-0404,2025-12-03,Marketplace,Credit Card
ORD-01119,CUST-0013,2025-11-21,Online,Debit Card
ORD-01120,CUST-0352,2025-01-09,Online,Credit Card
ORD-01121,CUST-0590,2025-12-03,Online,Credit Card
ORD-01122,CUST-0201,2024-05-29,Marketplace,PayPal
ORD-01123,CUST-0547,2024-11-19,Marketplace,Credit Card
ORD-01124,CUST-0488,2025-10-06,Online,PayPal
ORD-01125,CUST-0264,2024-12-18,Online,Credit Card
ORD-01126,CUST-0500,2025-04-02,Marketplace,Credit Card
ORD-01127,CUST-0586,2025-02-18,Marketplace,Credit Card
ORD-01128,CUST-0274,2025-09-11,In-Store,Credit Card
ORD-01129,CUST-0024,2024-05-08,In-Store,Debit Card
ORD-01130,CUST-0086,2024-04-16,Online,Credit Card
ORD-01131,CUST-0135,2025-06-23,Marketplace,Credit Card
ORD-01132,CUST-0279,2025-07-15,Online,Gift Card
ORD-01133,CUST-0356,2025-05-08,In-Store,PayPal
ORD-01134,CUST-0140,2024-12-18,Online,Debit Card
ORD-01135,CUST-0194,2025-02-25,Marketplace,Credit Card
ORD-01136,CUST-0388,2024-08-13,Online,Credit Card
ORD-01137,CUST-0279,2024-10-18,In-Store,Debit Card
ORD-01138,CUST-0297,2024-04-23,In-Store,Debit Card
ORD-01139,CUST-0156,2024-02-20,Phone Order,Credit Card
ORD-01140,CUST-0381,2025-04-19,In-Store,Credit Card
ORD-01141,CUST-0402,2024-03-14,In-Store,Credit Card
ORD-01142,CUST-0035,2024-07-22,Online,PayPal
ORD-01143,CUST-0044,2025-07-16,In-Store,Credit Card
ORD-01144,CUST-0445,2024-11-28,Online,PayPal
ORD-01145,CUST-0611,2024-06-07,Online,Credit Card
ORD-01146,CUST-0062,2024-03-02,Online,Credit Card
ORD-01147,CUST-0356,2025-03-25,In-Store,Credit Card
ORD-01148,CUST-0556,2025-12-14,In-Store,Debit Card
ORD-01149,CUST-0165,2024-03-11,In-Store,Credit Card
ORD-01150,CUST-0245,2024-11-24,In-Store,Debit Card
ORD-01151,CUST-0331,2025-02-23,In-Store,Credit Card
ORD-01152,CUST-0498,2024-07-15,Online,Debit Card
ORD-01153,CUST-0214,2025-11-02,In-Store,Cash
ORD-01154,CUST-0426,2025-01-12,Marketplace,Credit Card
ORD-01155,CUST-0532,2024-04-09,Online,Credit Card
ORD-01156,CUST-0572,2025-03-01,In-Store,PayPal
ORD-01157,CUST-0564,2025-02-15,In-Store,Debit Card
ORD-01158,CUST-0381,2025-02-26,Marketplace,Credit Card
ORD-01159,CUST-0407,2024-01-01,In-Store,Gift Card
ORD-01160,CUST-0323,2024-01-23,Marketplace,Cash
ORD-01161,CUST-0376,2025-08-19,Online,Credit Card
ORD-01162,CUST-0495,2024-06-26,In-Store,Cash
ORD-01163,CUST-0343,2024-12-22,Marketplace,Credit Card
ORD-01164,CUST-0579,2024-06-02,Online,PayPal
ORD-01165,CUST-0457,2025-09-01,In-Store,Credit Card
ORD-01166,CUST-0562,2025-02-12,Online,Credit Card
ORD-01167,CUST-0586,2024-07-19,In-Store,Gift Card
ORD-01168,CUST-0116,2025-11-18,Online,Credit Card
ORD-01169,CUST-0313,2024-06-22,Phone Order,Debit Card
ORD-01170,CUST-0152,2024-10-21,Online,PayPal
ORD-01171,CUST-0551,2024-08-04,Online,Debit Card
ORD-01172,CUST-0019,2025-01-20,In-Store,Debit Card
ORD-01173,CUST-0278,2024-02-24,Online,Cash
ORD-01174,CUST-0369,2024-04-20,Online,Cash
ORD-01175,CUST-0612,2025-06-28,Online,Credit Card
ORD-01176,CUST-0310,2024-08-29,Phone Order,Gift Card
ORD-01177,CUST-0031,2025-07-22,Phone Order,Credit Card
ORD-01178,CUST-0233,2025-03-03,Online,Credit Card
ORD-01179,CUST-0537,2024-05-18,Online,Cash
ORD-01180,CUST-0150,2024-01-31,Marketplace,Cash
ORD-01181,CUST-0281,2024-06-04,Marketplace,Credit Card
ORD-01182,CUST-0581,2025-09-19,Online,Credit Card
ORD-01183,CUST-0397,2025-05-18,In-Store,Credit Card
ORD-01184,CUST-0277,2025-02-26,Online,Debit Card
ORD-01185,CUST-0450,2025-09-23,In-Store,Credit Card
ORD-01186,CUST-0321,2025-02-07,In-Store,PayPal
ORD-01187,CUST-0044,2024-09-08,In-Store,Credit Card
ORD-01188,CUST-0293,2025-04-17,Online,Credit Card
ORD-01189,CUST-0403,2025-02-27,Online,Credit Card
ORD-01190,CUST-0168,2024-05-06,Online,PayPal
ORD-01191,CUST-0164,2025-01-22,In-Store,Credit Card
ORD-01192,CUST-0154,2024-06-15,Marketplace,Credit Card
ORD-01193,CUST-0260,2024-01-13,Online,Cash
ORD-01194,CUST-0420,2025-03-28,Online,Debit Card
ORD-01195,CUST-0213,2024-02-20,Online,Credit Card
ORD-01196,CUST-0090,2024-02-20,Online,Gift Card
ORD-01197,CUST-0610,2025-08-09,Marketplace,Credit Card
ORD-01198,CUST-0389,2024-03-10,Marketplace,PayPal
ORD-01199,CUST-0282,2024-12-03,In-Store,Debit Card
ORD-01200,CUST-0295,2025-03-13,In-Store,Credit Card
ORD-01201,CUST-0510,2025-05-19,Marketplace,Cash
ORD-01202,CUST-0025,2025-04-21,In-Store,Credit Card
ORD-01203,CUST-0289,2024-09-17,Marketplace,Credit Card
ORD-01204,CUST-0030,2024-06-28,Online,PayPal
ORD-01205,CUST-0058,2025-06-17,Online,PayPal
ORD-01206,CUST-0363,2024-03-08,Phone Order,Credit Card
ORD-01207,CUST-0585,2025-09-12,Online,Debit Card
ORD-01208,CUST-0310,2024-08-09,In-Store,Credit Card
ORD-01209,CUST-0513,2024-06-06,Online,Cash
ORD-01210,CUST-0211,2024-02-07,Online,PayPal
ORD-01211,CUST-0479,2024-02-17,Online,PayPal
ORD-01212,CUST-0452,2025-11-18,Online,Credit Card
ORD-01213,CUST-0105,2024-07-30,In-Store,Debit Card
ORD-01214,CUST-0176,2024-03-13,Online,Cash
ORD-01215,CUST-0089,2025-03-12,Online,PayPal
ORD-01216,CUST-0547,2024-03-21,Phone Order,PayPal
ORD-01217,CUST-0477,2025-04-26,Online,Credit Card
ORD-01218,CUST-0500,2024-01-31,Online,Credit Card
ORD-01219,CUST-0416,2024-04-19,Online,Debit Card
ORD-01220,CUST-0214,2025-12-11,In-Store,PayPal
ORD-01221,CUST-0588,2025-05-13,Online,Debit Card
ORD-01222,CUST-0611,2025-01-23,Online,Debit Card
ORD-01223,CUST-0001,2024-05-30,In-Store,Credit Card
ORD-01224,CUST-0312,2025-03-21,In-Store,Cash
ORD-01225,CUST-0368,2024-04-22,Marketplace,Cash
ORD-01226,CUST-0392,2025-02-19,Online,Debit Card
ORD-01227,CUST-0158,2024-10-22,Phone Order,Debit Card
ORD-01228,CUST-0499,2025-11-04,Online,Gift Card
ORD-01229,CUST-0619,2025-03-11,In-Store,Credit Card
ORD-01230,CUST-0511,2024-08-30,In-Store,Credit Card
ORD-01231,CUST-0287,2025-04-21,In-Store,Debit Card
ORD-01232,CUST-0553,2025-08-16,Online,Credit Card
ORD-01233,CUST-0432,2024-12-27,Phone Order,PayPal
ORD-01234,CUST-0063,2025-10-06,In-Store,Credit Card
ORD-01235,CUST-0294,2025-05-11,Online,Debit Card
ORD-01236,CUST-0155,2025-11-05,Online,PayPal
ORD-01237,CUST-0541,2024-02-03,Online,Credit Card
ORD-01238,CUST-0423,2025-01-27,Online,Credit Card
ORD-01239,CUST-0119,2024-02-23,Online,Credit Card
ORD-01240,CUST-0269,2024-05-28,In-Store,Credit Card
ORD-01241,CUST-0100,2025-06-28,In-Store,Cash
ORD-01242,CUST-0599,2025-02-04,Online,Debit Card
ORD-01243,CUST-0346,2025-11-24,In-Store,Credit Card
ORD-01244,CUST-0457,2024-12-25,Online,Credit Card
ORD-01245,CUST-0609,2025-11-03,Marketplace,Credit Card
ORD-01246,CUST-0580,2024-07-08,Marketplace,PayPal
ORD-01247,CUST-0465,2024-10-10,Marketplace,PayPal
ORD-01248,CUST-0398,2024-12-06,Phone Order,Credit Card
ORD-01249,CUST-0442,2024-08-11,In-Store,Credit Card
ORD-01250,CUST-0020,2025-05-24,Online,Debit Card
ORD-01251,CUST-0072,2025-07-07,Online,Credit Card
ORD-01252,CUST-0093,2025-01-09,In-Store,Gift Card
ORD-01253,CUST-0208,2024-06-29,In-Store,Gift Card
ORD-01254,CUST-0449,2024-07-13,Online,Credit Card
ORD-01255,CUST-0017,2024-02-07,Online,Credit Card
ORD-01256,CUST-0594,2024-08-26,Marketplace,Credit Card
ORD-01257,CUST-0047,2024-09-05,In-Store,Credit Card
ORD-01258,CUST-0100,2025-04-12,In-Store,PayPal
ORD-01259,CUST-0226,2024-03-05,Marketplace,Credit Card
ORD-01260,CUST-0047,2025-08-30,Online,Credit Card
ORD-01261,CUST-0567,2024-06-17,Online,Cash
ORD-01262,CUST-0386,2024-06-10,Online,Credit Card
ORD-01263,CUST-0608,2024-10-17,Online,PayPal
ORD-01264,CUST-0611,2024-07-03,In-Store,Debit Card
ORD-01265,CUST-0005,2025-07-25,Online,Credit Card
ORD-01266,CUST-0214,2024-10-10,Online,Credit Card
ORD-01267,CUST-0181,2024-06-12,In-Store,Credit Card
ORD-01268,CUST-0045,2024-04-16,In-Store,Cash
ORD-01269,CUST-0073,2024-08-28,In-Store,Debit Card
ORD-01270,CUST-0101,2024-08-30,In-Store,Cash
ORD-01271,CUST-0466,2024-07-01,Online,Credit Card
ORD-01272,CUST-0470,2025-03-04,Online,Credit Card
ORD-01273,CUST-0422,2025-06-18,In-Store,Gift Card
ORD-01274,CUST-0336,2025-03-20,In-Store,Cash
ORD-01275,CUST-0482,2025-05-31,Online,Debit Card
ORD-01276,CUST-0013,2025-12-10,In-Store,Cash
ORD-01277,CUST-0017,2025-05-06,In-Store,Credit Card
ORD-01278,CUST-0416,2024-07-08,Marketplace,Credit Card
ORD-01279,CUST-0034,2024-10-30,Online,Credit Card
ORD-01280,CUST-0114,2025-01-27,Online,Debit Card
ORD-01281,CUST-0343,2024-09-01,In-Store,Debit Card
ORD-01282,CUST-0434,2024-10-10,Online,Credit Card
ORD-01283,CUST-0300,2025-04-07,In-Store,PayPal
ORD-01284,CUST-0152,2025-05-23,Online,Credit Card
ORD-01285,CUST-0238,2025-06-16,In-Store,Credit Card
ORD-01286,CUST-0456,2025-04-13,Online,Credit Card
ORD-01287,CUST-0171,2025-09-25,Marketplace,PayPal
ORD-01288,CUST-0120,2024-02-12,Phone Order,Debit Card
ORD-01289,CUST-0152,2025-01-16,Online,Gift Card
ORD-01290,CUST-0328,2024-06-08,Online,PayPal
ORD-01291,CUST-0453,2024-12-12,In-Store,PayPal
ORD-01292,CUST-0228,2024-10-11,Online,Credit Card
ORD-01293,CUST-0370,2025-02-11,Online,Cash
ORD-01294,CUST-0090,2024-08-08,In-Store,Credit Card
ORD-01295,CUST-0487,2025-06-21,Phone Order,Credit Card
ORD-01296,CUST-0391,2024-10-23,In-Store,Credit Card
ORD-01297,CUST-0484,2024-05-07,In-Store,Cash
ORD-01298,CUST-0069,2025-09-05,In-Store,Debit Card
ORD-01299,CUST-0525,2025-08-12,Online,Credit Card
ORD-01300,CUST-0370,2025-03-05,In-Store,Cash
ORD-01301,CUST-0527,2024-07-17,Marketplace,Credit Card
ORD-01302,CUST-0324,2025-12-02,Marketplace,Credit Card
ORD-01303,CUST-0349,2024-06-15,Online,Credit Card
ORD-01304,CUST-0539,2025-06-28,In-Store,PayPal
ORD-01305,CUST-0453,2025-09-03,In-Store,Gift Card
ORD-01306,CUST-0228,2024-05-11,Marketplace,Credit Card
ORD-01307,CUST-0436,2025-12-08,Marketplace,Credit Card
ORD-01308,CUST-0111,2024-02-03,Marketplace,Debit Card
ORD-01309,CUST-0309,2025-11-14,Online,Credit Card
ORD-01310,CUST-0190,2025-11-17,Online,Credit Card
ORD-01311,CUST-0593,2024-01-15,In-Store,PayPal
ORD-01312,CUST-0110,2024-07-04,Marketplace,Gift Card
ORD-01313,CUST-0533,2024-05-19,In-Store,Credit Card
ORD-01314,CUST-0320,2025-12-04,Phone Order,Credit Card
ORD-01315,CUST-0377,2024-07-02,Online,Debit Card
ORD-01316,CUST-0173,2024-03-07,Online,Credit Card
ORD-01317,CUST-0435,2025-05-26,Online,PayPal
ORD-01318,CUST-0618,2025-02-18,Phone Order,Debit Card
ORD-01319,CUST-0510,2024-08-24,In-Store,Credit Card
ORD-01320,CUST-0028,2024-07-02,Online,Debit Card
ORD-01321,CUST-0533,2025-05-19,Marketplace,Credit Card
ORD-01322,CUST-0033,2025-03-16,Marketplace,Credit Card
ORD-01323,CUST-0311,2025-12-24,Online,Credit Card
ORD-01324,CUST-0553,2025-08-08,Online,Debit Card
ORD-01325,CUST-0387,2025-09-23,In-Store,PayPal
ORD-01326,CUST-0598,2024-01-28,Marketplace,Debit Card
ORD-01327,CUST-0241,2025-10-25,Online,Credit Card
ORD-01328,CUST-0432,2024-09-30,Online,Credit Card
ORD-01329,CUST-0587,2024-04-10,Marketplace,Credit Card
ORD-01330,CUST-0078,2025-07-02,Online,Credit Card
ORD-01331,CUST-0593,2024-04-07,In-Store,Credit Card
ORD-01332,CUST-0517,2024-11-03,Online,Debit Card
ORD-01333,CUST-0561,2024-07-03,Marketplace,Debit Card
ORD-01334,CUST-0275,2025-10-15,In-Store,Debit Card
ORD-01335,CUST-0308,2025-03-21,Online,Cash
ORD-01336,CUST-0318,2025-04-20,In-Store,Gift Card
ORD-01337,CUST-0285,2025-11-05,In-Store,Debit Card
ORD-01338,CUST-0086,2024-11-17,In-Store,Cash
ORD-01339,CUST-0535,2025-11-11,Marketplace,Cash
ORD-01340,CUST-0434,2024-08-11,Online,Credit Card
ORD-01341,CUST-0149,2025-01-06,In-Store,Credit Card
ORD-01342,CUST-0246,2024-09-16,In-Store,Credit Card
ORD-01343,CUST-0093,2024-08-29,Online,Cash
ORD-01344,CUST-0417,2024-02-04,Online,Credit Card
ORD-01345,CUST-0268,2025-06-02,Online,Credit Card
ORD-01346,CUST-0140,2024-01-04,Online,Debit Card
ORD-01347,CUST-0134,2025-08-31,In-Store,PayPal
ORD-01348,CUST-0289,2024-07-22,Online,Credit Card
ORD-01349,CUST-0235,2024-04-01,Phone Order,Credit Card
ORD-01350,CUST-0015,2025-06-22,Online,Cash
ORD-01351,CUST-0273,2024-10-21,In-Store,Credit Card
ORD-01352,CUST-0185,2025-02-22,Marketplace,Credit Card
ORD-01353,CUST-0218,2025-12-31,Online,Credit Card
ORD-01354,CUST-0363,2025-09-12,Phone Order,Gift Card
ORD-01355,CUST-0405,2025-11-18,Online,Gift Card
ORD-01356,CUST-0136,2024-04-01,Online,Debit Card
ORD-01357,CUST-0512,2024-10-14,In-Store,Cash
ORD-01358,CUST-0169,2024-11-19,In-Store,Debit Card
ORD-01359,CUST-0119,2025-05-21,Online,Credit Card
ORD-01360,CUST-0173,2025-06-04,Marketplace,Debit Card
ORD-01361,CUST-0079,2024-09-09,Marketplace,Debit Card
ORD-01362,CUST-0030,2024-03-24,Online,PayPal
ORD-01363,CUST-0464,2024-11-28,Phone Order,Gift Card
ORD-01364,CUST-0262,2024-07-01,Online,PayPal
ORD-01365,CUST-0158,2024-05-03,Online,PayPal
ORD-01366,CUST-0398,2025-05-02,Online,Debit Card
ORD-01367,CUST-0445,2025-10-07,Online,Credit Card
ORD-01368,CUST-0538,2024-03-26,Online,Credit Card
ORD-01369,CUST-0523,2025-03-11,Online,Credit Card
ORD-01370,CUST-0187,2025-02-06,Online,Credit Card
ORD-01371,CUST-0192,2024-08-04,Online,PayPal
ORD-01372,CUST-0176,2025-11-02,In-Store,PayPal
ORD-01373,CUST-0405,2024-11-05,Online,Credit Card
ORD-01374,CUST-0028,2024-08-02,In-Store,Credit Card
ORD-01375,CUST-0196,2024-03-29,Online,Credit Card
ORD-01376,CUST-0483,2024-01-21,Marketplace,Debit Card
ORD-01377,CUST-0342,2024-01-09,Online,PayPal
ORD-01378,CUST-0038,2025-05-14,Online,Debit Card
ORD-01379,CUST-0066,2024-10-01,Marketplace,Credit Card
ORD-01380,CUST-0295,2024-07-15,Online,Credit Card
ORD-01381,CUST-0480,2024-05-14,Marketplace,PayPal
ORD-01382,CUST-0166,2025-09-28,Online,PayPal
ORD-01383,CUST-0504,2024-04-13,Marketplace,Cash
ORD-01384,CUST-0163,2024-06-27,Marketplace,Cash
ORD-01385,CUST-0233,2024-05-03,In-Store,Credit Card
ORD-01386,CUST-0449,2025-04-13,Phone Order,PayPal
ORD-01387,CUST-0453,2025-06-02,In-Store,Cash
ORD-01388,CUST-0207,2025-03-25,Phone Order,PayPal
ORD-01389,CUST-0518,2024-06-24,Online,Credit Card
ORD-01390,CUST-0420,2025-04-14,Phone Order,Debit Card
ORD-01391,CUST-0169,2025-03-20,Online,PayPal
ORD-01392,CUST-0533,2024-10-29,Online,Cash
ORD-01393,CUST-0414,2025-04-01,In-Store,Cash
ORD-01394,CUST-0203,2024-11-04,Online,Debit Card
ORD-01395,CUST-0524,2025-07-19,Online,Credit Card
ORD-01396,CUST-0312,2025-03-08,Phone Order,Credit Card
ORD-01397,CUST-0127,2024-02-18,Marketplace,Cash
ORD-01398,CUST-0596,2025-08-02,In-Store,Cash
ORD-01399,CUST-0587,2025-11-19,Online,Credit Card
ORD-01400,CUST-0084,2024-04-04,Online,Cash
ORD-01401,CUST-0405,2024-09-27,In-Store,Debit Card
ORD-01402,CUST-0121,2025-12-12,Online,Credit Card
ORD-01403,CUST-0157,2024-04-30,Online,Gift Card
ORD-01404,CUST-0313,2024-10-17,Online,PayPal
ORD-01405,CUST-0580,2025-04-08,Marketplace,PayPal
ORD-01406,CUST-0461,2025-11-14,Online,Cash
ORD-01407,CUST-0554,2024-02-16,Phone Order,Cash
ORD-01408,CUST-0573,2024-03-28,Online,Debit Card
ORD-01409,CUST-0545,2024-07-03,Phone Order,Credit Card
ORD-01410,CUST-0455,2024-03-27,Marketplace,Debit Card
ORD-01411,CUST-0541,2024-11-20,Online,Credit Card
ORD-01412,CUST-0060,2024-11-01,Online,Credit Card
ORD-01413,CUST-0612,2025-08-23,Online,Debit Card
ORD-01414,CUST-0418,2025-10-10,Online,Cash
ORD-01415,CUST-0569,2025-10-29,Marketplace,Credit Card
ORD-01416,CUST-0173,2024-09-08,In-Store,Credit Card
ORD-01417,CUST-0390,2024-12-25,Marketplace,Credit Card
ORD-01418,CUST-0570,2024-10-13,Marketplace,Credit Card
ORD-01419,CUST-0464,2024-10-06,Online,Gift Card
ORD-01420,CUST-0488,2024-01-05,Marketplace,Debit Card
ORD-01421,CUST-0080,2025-07-05,Online,PayPal
ORD-01422,CUST-0009,2024-05-07,Online,Cash
ORD-01423,CUST-0093,2025-09-20,In-Store,PayPal
ORD-01424,CUST-0505,2025-12-21,In-Store,Credit Card
ORD-01425,CUST-0285,2025-08-05,In-Store,Credit Card
ORD-01426,CUST-0579,2024-06-28,Online,Credit Card
ORD-01427,CUST-0536,2024-10-07,Online,Debit Card
ORD-01428,CUST-0443,2025-02-20,Online,PayPal
ORD-01429,CUST-0431,2025-06-29,Online,Credit Card
ORD-01430,CUST-0232,2025-12-07,Online,Credit Card
ORD-01431,CUST-0100,2024-01-29,In-Store,PayPal
ORD-01432,CUST-0349,2024-02-25,Marketplace,Debit Card
ORD-01433,CUST-0098,2025-10-02,Online,Credit Card
ORD-01434,CUST-0105,2025-11-24,Online,Credit Card
ORD-01435,CUST-0439,2025-09-27,In-Store,Credit Card
ORD-01436,CUST-0522,2024-09-19,Online,Credit Card
ORD-01437,CUST-0526,2025-10-29,Marketplace,Credit Card
ORD-01438,CUST-0059,2024-08-31,In-Store,PayPal
ORD-01439,CUST-0479,2025-09-06,In-Store,Cash
ORD-01440,CUST-0044,2025-05-22,Online,Credit Card
ORD-01441,CUST-0493,2024-12-05,Marketplace,Credit Card
ORD-01442,CUST-0298,2025-03-26,Online,Debit Card
ORD-01443,CUST-0183,2024-07-19,Online,PayPal
ORD-01444,CUST-0540,2025-09-30,Marketplace,Cash
ORD-01445,CUST-0195,2024-07-15,In-Store,PayPal
ORD-01446,CUST-0549,2024-10-28,Marketplace,Credit Card
ORD-01447,CUST-0521,2025-08-21,Marketplace,Credit Card
ORD-01448,CUST-0172,2025-06-04,Online,Cash
ORD-01449,CUST-0275,2025-08-18,Online,Cash
ORD-01450,CUST-0314,2025-03-11,Marketplace,Debit Card
ORD-01451,CUST-0479,2025-03-18,Online,PayPal
